"Integration Node (broker)","Ver","integration node UUID (broker UUID)","Integration server (ex.grp)","message flow","StartDate","StartTime","EndDate","EndTime","Tot.msgs","Tot.Elapse","max.elapse","min.elapse","total.cp","max.cp","min.cp","cp.wait","elapse.wait","total.msgsize","max.msgsize","min.msgsize"
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:39,2019-04-25,17:40,5951,59.573565,0.131828,0.005602,25.379052,0.006950,0.002955,6.729030,2317.266124,2475616,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:39,2019-04-25,17:40,2709,30.170592,0.125661,0.005525,11.408160,0.006580,0.002891,0.522061,202.923248,1126944,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:39,2019-04-25,17:40,6148,347.479520,0.197471,0.012790,21.410773,0.005658,0.002653,0.531953,1765.536839,12874410,2095,2093
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:40,2019-04-25,17:41,4248,83.722664,0.086874,0.007262,14.015168,0.012011,0.001816,0.538399,336.845807,57518240,100910,4412
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:40,2019-04-25,17:41,4101,83.904015,0.071434,0.008705,17.806094,0.016768,0.002593,1.062028,1841.140224,7920642,2073,1867
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:40,2019-04-25,17:41,2814,33.353754,0.171556,0.005566,11.761813,0.007426,0.002973,0.532578,206.176508,1170624,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:40,2019-04-25,17:41,6099,372.729245,5.434283,0.010873,23.359725,2.039240,0.002680,0.552729,1793.376178,12771851,2095,1889
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:40,2019-04-25,17:41,5972,64.051031,0.187118,0.005539,25.377323,0.007345,0.002857,6.640123,2342.338954,2484352,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:41,2019-04-25,17:42,4153,80.015475,0.124831,0.007722,13.960418,0.014077,0.001853,0.546822,334.272913,56524026,100910,4412
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:41,2019-04-25,17:42,4008,73.082433,0.064878,0.008764,17.468592,0.014643,0.002515,1.152874,1842.292516,7748731,2073,1867
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:41,2019-04-25,17:42,2664,32.095700,0.178752,0.005509,11.291605,0.006875,0.002738,0.502801,200.650809,1108224,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:41,2019-04-25,17:42,5692,353.972903,0.246280,0.011705,20.053492,0.006425,0.002668,0.509995,1747.199460,11919998,2095,2093
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:41,2019-04-25,17:42,5795,62.137343,0.168211,0.005584,24.905526,0.007233,0.002903,6.585865,2331.203857,2410720,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:42,2019-04-25,17:43,4186,87.577804,0.102611,0.008217,14.180990,0.014034,0.001860,0.528591,332.590229,58110088,100910,4412
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:42,2019-04-25,17:43,4143,75.669838,0.062398,0.008296,18.068993,0.015116,0.002457,1.144293,1851.503766,8000716,2073,1867
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:42,2019-04-25,17:43,5967,58.482338,0.156193,0.005547,25.459167,0.007223,0.003177,6.794946,2310.125636,2482272,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:42,2019-04-25,17:43,2839,32.949292,0.147912,0.005450,12.008364,0.006521,0.003066,0.531772,204.999267,1181024,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:42,2019-04-25,17:43,6176,355.266988,0.176668,0.012420,21.515192,0.006286,0.002633,0.536583,1765.690975,12933262,2095,2093
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_REQ",2019-04-25,17:43,2019-04-25,17:44,4134,85.004880,0.131776,0.008154,13.838149,0.013105,0.001721,0.521280,333.605408,57204148,100910,4412
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG101","cmdoltp.CMD_OLTP_RES",2019-04-25,17:43,2019-04-25,17:44,4187,79.408333,0.070025,0.008650,18.127902,0.015134,0.002488,1.126757,1848.492101,8081465,2073,1867
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG701","TCAZ_SQLRATE_EG701",2019-04-25,17:43,2019-04-25,17:44,5926,64.832773,0.202160,0.005610,25.475850,0.007779,0.003010,6.527527,2357.247101,2465216,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","TCAZ_SQLRATE_EG201",2019-04-25,17:43,2019-04-25,17:44,2809,32.763118,0.247649,0.005544,11.847889,0.007055,0.002948,0.519881,205.068640,1168544,416,416
"MBMQH2","0002","42b2c25a-eaa8-11e5-9d31-09bcd8f30000","MBEG201","cmdex.CMD_OLTP_EX",2019-04-25,17:43,2019-04-25,17:44,5929,355.899081,0.368458,0.012818,20.724288,0.006576,0.002629,0.518126,1783.307156,12416061,2095,2093
