"date","time","volser","usage","sys","rate","resp","iosq","pend","disc","conn","lcu"
2019/04/25,17:39:00,"YSGZ2B","","*ALL",0.033,0.301,0.000,0.134,0.000,0.166,"016F"
2019/04/25,17:39:00,"YSGZ2B","","F1",0.000,0.000,0.000,0.000,0.000,0.000,"016F"
2019/04/25,17:39:00,"YSGZ2B","","F2",0.033,0.301,0.000,0.134,0.000,0.166,"016F"
2019/04/25,17:39:00,"YSGZ2B","","F*",0.033,0.301,0.000,0.134,0.000,0.166,"016F"
2019/04/25,17:39:00,"YSGZ2C","","*ALL",0.000,0.000,0.000,0.000,0.000,0.000,"016F"
2019/04/25,17:39:00,"YSGZ2C","","F1",0.000,0.000,0.000,0.000,0.000,0.000,"016F"
2019/04/25,17:39:00,"YSGZ2C","","F2",0.000,0.000,0.000,0.000,0.000,0.000,"016F"
2019/04/25,17:39:00,"YSGZ2C","","F*",0.000,0.000,0.000,0.000,0.000,0.000,"016F"
2019/04/25,17:39:00,"YSGZ2D","","*ALL",0.000,0.000,0.000,0.000,0.000,0.000,"016F"
2019/04/25,17:39:00,"YSGZ2D","","F1",0.000,0.000,0.000,0.000,0.000,0.000,"016F"
2019/04/25,17:39:00,"YSGZ2D","","F2",0.000,0.000,0.000,0.000,0.000,0.000,"016F"
2019/04/25,17:39:00,"YSGZ2D","","F*",0.000,0.000,0.000,0.000,0.000,0.000,"016F"
2019/04/25,17:39:00,"YSGZ2E","","*ALL",5.195,0.375,0.000,0.120,0.000,0.255,"016F"
2019/04/25,17:39:00,"YSGZ2E","","F1",2.668,0.379,0.000,0.121,0.000,0.258,"016F"
2019/04/25,17:39:00,"YSGZ2E","","F2",2.527,0.370,0.000,0.119,0.000,0.252,"016F"
2019/04/25,17:39:00,"YSGZ2E","","F*",5.195,0.375,0.000,0.120,0.000,0.255,"016F"
2019/04/25,17:39:00,"YSGZ2F","","*ALL",0.067,0.285,0.000,0.134,0.000,0.150,"016F"
2019/04/25,17:39:00,"YSGZ2F","","F1",0.033,0.262,0.000,0.128,0.000,0.134,"016F"
2019/04/25,17:39:00,"YSGZ2F","","F2",0.033,0.307,0.000,0.141,0.000,0.166,"016F"
2019/04/25,17:39:00,"YSGZ2F","","F*",0.066,0.285,0.000,0.135,0.000,0.150,"016F"
