"DATE","TIME","SYSID","SG","DNUM","DTYPE","CYL","VOLSER","PAV","H","LCU","RATE","RESP","IOSQ","CMR","DB","INT","PEND","DISC","CONN","%CONN","%UTIL","%RESV","#ALLOC","%ALLOC"
"19/04/25","17:39:00","A1","ZFSWITSG","C191","33909",10017,"YSYZ2H",1.0,"H","019F",0.050,.162,.000,.000,.000,.000,.090,.000,.073,0.00,0.00,0.0,1.0,100.0
"19/04/25","17:39:00","A1","ZFSBBXSG","C192","33909",10017,"YSYZ2I",1.0,"H","019F",0.017,.179,.000,.000,.000,.000,.115,.000,.064,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C193","33909",10017,"YSYZ2J",1.0,"H","019F",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C194","33909",10017,"YMQL21",1.0,"H","019F",3.973,.517,.000,.000,.000,.000,.067,.279,.171,0.07,0.18,0.0,2.0,100.0
"19/04/25","17:39:00","A1","","C195","33909",10017,"YMQL22",1.0,"H","019F",3.973,.526,.000,.000,.000,.000,.068,.289,.169,0.07,0.18,0.0,2.0,100.0
"19/04/25","17:39:00","A1","","C196","33909",10017,"YMQL23",1.0,"H","019F",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C197","33909",10017,"YMQL24",1.0,"H","019F",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C198","33909",10017,"YMQP21",1.0,"H","019F",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C199","33909",10017,"YWAS21",1.0,"H","019F",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C19A","33909",10017,"YDBL03",1.0,"H","019F",375.180,.536,.000,.000,.000,.000,.070,.269,.198,7.42,17.51,0.0,2.0,100.0
"19/04/25","17:39:00","A1","","C19B","33909",10017,"YDBL04",1.0,"H","019F",460.817,.543,.000,.000,.000,.000,.070,.274,.199,9.18,21.81,0.0,2.0,100.0
"19/04/25","17:39:00","A1","","C19C","33909",10017,"YDBL08",1.0,"H","019F",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","","C19D","33909",10017,"YDBL07",1.0,"H","019F",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","ARCBSG","C19E","33909",10017,"YDBA05",1.0,"H","019F",11.862,1.28,.000,.000,.000,.000,.071,.464,.742,0.88,1.43,0.0,0.0,100.0
"19/04/25","17:39:00","A1","ARCBSG","C19F","33909",10017,"YDBA06",1.0,"H","019F",0.017,.179,.000,.000,.000,.000,.115,.000,.064,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","ARCBSG","C1A0","33909",10017,"YDBA07",1.0,"H","019F",23.387,1.26,.000,.000,.000,.000,.072,.414,.775,1.81,2.78,0.0,0.0,100.0
"19/04/25","17:39:00","A1","ARCBSG","C1A1","33909",10017,"YDBA08",1.0,"H","019F",0.097,.682,.000,.000,.000,.000,.082,.212,.388,0.00,0.01,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C1A2","33909",10017,"YDBU0B",1.0,"H","019F",148.160,.818,.000,.000,.000,.000,.069,.442,.307,4.54,11.10,0.0,7.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C1A3","33909",10017,"YDBU0C",1.0,"H","019F",0.017,.179,.000,.000,.000,.000,.115,.000,.064,0.00,0.00,0.0,0.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C1A4","33909",10017,"YDBU0D",1.0,"H","019F",7.157,2.22,.000,.001,.000,.000,.079,1.29,.849,0.61,1.53,0.0,4.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C1A5","33909",10017,"YDBU0E",1.0,"H","019F",0.433,20.6,.000,.011,.000,.000,.123,13.7,6.76,0.28,0.85,0.0,4.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C1A6","33909",10017,"YDBU0F",1.0,"H","019F",0.018,.652,.000,.000,.000,.000,.105,.477,.070,0.00,0.00,0.0,3.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C1A7","33909",10017,"YDBU10",1.0,"H","019F",3.132,2.56,.000,.000,.000,.000,.078,1.38,1.10,0.34,0.78,0.0,8.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C1A8","33909",10017,"YDBU11",1.0,"H","019F",3.895,14.2,.000,.001,.000,.000,.104,8.76,5.33,2.01,5.33,0.0,1.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C1A9","33909",10017,"YDBU12",1.0,"H","019F",200.790,.504,.000,.000,.000,.000,.074,.228,.202,3.93,8.37,0.0,4.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C1AA","33909",10017,"YDBU13",1.0,"H","019F",5.258,11.0,.000,.003,.000,.000,.097,6.82,4.12,2.10,5.58,0.0,5.0,100.0
"19/04/25","17:39:00","A1","DBAGSG","C1AB","33909",10017,"YDBU14",1.0,"H","019F",4.092,9.52,.000,.003,.000,.000,.094,5.87,3.56,1.43,3.80,0.0,10.0,100.0
"19/04/25","17:39:00","A1","","C1AC","33909",10017,"YDBM01",1.0,"H","019F",40.412,1.03,.000,.004,.239,.000,.331,.245,.456,1.83,2.81,0.0,40.0,100.0
"19/04/25","17:39:00","A1","","C1AD","33909",10017,"YDBW02",1.0,"H","019F",0.000,.000,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.0,0.0,100.0
